tweet_id,favorites,retweets,timestamp
892420643555336193,39467,8853,Tue Aug 01 16:23:56 +0000 2017
892177421306343426,33819,6514,Tue Aug 01 00:17:27 +0000 2017
891815181378084864,25461,4328,Mon Jul 31 00:18:03 +0000 2017
891689557279858688,42908,8964,Sun Jul 30 15:58:51 +0000 2017
891327558926688256,41048,9774,Sat Jul 29 16:00:24 +0000 2017
891087950875897856,20562,3261,Sat Jul 29 00:08:17 +0000 2017
890971913173991426,12041,2158,Fri Jul 28 16:27:12 +0000 2017
890729181411237888,56848,16716,Fri Jul 28 00:22:40 +0000 2017
890609185150312448,28226,4429,Thu Jul 27 16:25:51 +0000 2017
890240255349198849,32467,7711,Wed Jul 26 15:59:51 +0000 2017
890006608113172480,31166,7624,Wed Jul 26 00:31:25 +0000 2017
889880896479866881,28268,5156,Tue Jul 25 16:11:53 +0000 2017
889665388333682689,38818,8538,Tue Jul 25 01:55:32 +0000 2017
889638837579907072,27672,4735,Tue Jul 25 00:10:02 +0000 2017
889531135344209921,15359,2321,Mon Jul 24 17:02:04 +0000 2017
889278841981685760,25652,5637,Mon Jul 24 00:19:32 +0000 2017
888917238123831296,29611,4709,Sun Jul 23 00:22:39 +0000 2017
888804989199671297,26080,4559,Sat Jul 22 16:56:37 +0000 2017
888554962724278272,20290,3732,Sat Jul 22 00:23:06 +0000 2017
888078434458587136,22201,3653,Thu Jul 20 16:49:33 +0000 2017
887705289381826560,30779,5609,Wed Jul 19 16:06:48 +0000 2017
887517139158093824,46959,12082,Wed Jul 19 03:39:09 +0000 2017
887473957103951883,69871,18781,Wed Jul 19 00:47:34 +0000 2017
887343217045368832,34222,10737,Tue Jul 18 16:08:03 +0000 2017
887101392804085760,31061,6167,Tue Jul 18 00:07:08 +0000 2017
886983233522544640,35859,8084,Mon Jul 17 16:17:36 +0000 2017
886736880519319552,12306,3443,Sun Jul 16 23:58:41 +0000 2017
886680336477933568,22798,4610,Sun Jul 16 20:14:00 +0000 2017
886366144734445568,21524,3316,Sat Jul 15 23:25:31 +0000 2017
886267009285017600,117,4,Sat Jul 15 16:51:35 +0000 2017
886258384151887873,28469,6523,Sat Jul 15 16:17:19 +0000 2017
886054160059072513,0,108,Sat Jul 15 02:45:48 +0000 2017
885984800019947520,33382,7097,Fri Jul 14 22:10:11 +0000 2017
885528943205470208,36689,6683,Thu Jul 13 15:58:47 +0000 2017
885518971528720385,20788,3899,Thu Jul 13 15:19:09 +0000 2017
885311592912609280,0,19297,Thu Jul 13 01:35:06 +0000 2017
885167619883638784,22367,4556,Wed Jul 12 16:03:00 +0000 2017
884925521741709313,68152,16439,Wed Jul 12 00:01:00 +0000 2017
884876753390489601,28514,6096,Tue Jul 11 20:47:12 +0000 2017
884562892145688576,24765,5100,Tue Jul 11 00:00:02 +0000 2017
884441805382717440,27478,5856,Mon Jul 10 15:58:53 +0000 2017
884247878851493888,74423,21298,Mon Jul 10 03:08:17 +0000 2017
884162670584377345,20771,3128,Sun Jul 09 21:29:42 +0000 2017
883838122936631299,22349,3586,Sun Jul 09 00:00:04 +0000 2017
883482846933004288,46860,10407,Sat Jul 08 00:28:19 +0000 2017
883360690899218434,22986,3825,Fri Jul 07 16:22:55 +0000 2017
883117836046086144,37914,6949,Fri Jul 07 00:17:54 +0000 2017
882992080364220416,24445,4122,Thu Jul 06 15:58:11 +0000 2017
882762694511734784,28903,5134,Thu Jul 06 00:46:41 +0000 2017
882627270321602560,28382,6342,Wed Jul 05 15:48:34 +0000 2017
882268110199369728,45880,12118,Tue Jul 04 16:01:23 +0000 2017
882045870035918850,29900,5203,Tue Jul 04 01:18:17 +0000 2017
881906580714921986,24773,3533,Mon Jul 03 16:04:48 +0000 2017
881666595344535552,51522,11099,Mon Jul 03 00:11:11 +0000 2017
881633300179243008,129,7,Sun Jul 02 21:58:53 +0000 2017
881536004380872706,50199,16570,Sun Jul 02 15:32:16 +0000 2017
881268444196462592,23501,5358,Sat Jul 01 21:49:04 +0000 2017
880935762899988482,17346,2886,Fri Jun 30 23:47:07 +0000 2017
880872448815771648,21734,3989,Fri Jun 30 19:35:32 +0000 2017
880465832366813184,29075,6546,Thu Jun 29 16:39:47 +0000 2017
880221127280381952,27640,4436,Thu Jun 29 00:27:25 +0000 2017
880095782870896641,28150,4533,Wed Jun 28 16:09:20 +0000 2017
879862464715927552,22667,3642,Wed Jun 28 00:42:13 +0000 2017
879674319642796034,315,10,Tue Jun 27 12:14:36 +0000 2017
879492040517615616,23822,3323,Tue Jun 27 00:10:17 +0000 2017
879415818425184262,107956,45849,Mon Jun 26 19:07:24 +0000 2017
879376492567855104,17099,3261,Mon Jun 26 16:31:08 +0000 2017
879130579576475649,0,7181,Mon Jun 26 00:13:58 +0000 2017
879050749262655488,23022,4941,Sun Jun 25 18:56:45 +0000 2017
879008229531029506,19317,2812,Sun Jun 25 16:07:47 +0000 2017
878776093423087618,19763,4319,Sun Jun 25 00:45:22 +0000 2017
878604707211726852,30931,7582,Sat Jun 24 13:24:20 +0000 2017
878404777348136964,0,1349,Sat Jun 24 00:09:53 +0000 2017
878316110768087041,0,6965,Fri Jun 23 18:17:33 +0000 2017
878281511006478336,7913,1349,Fri Jun 23 16:00:04 +0000 2017
878057613040115712,42876,7181,Fri Jun 23 01:10:23 +0000 2017
877736472329191424,71144,17300,Thu Jun 22 03:54:17 +0000 2017
877611172832227328,0,83,Wed Jun 21 19:36:23 +0000 2017
877556246731214848,23258,3994,Wed Jun 21 15:58:08 +0000 2017
877316821321428993,27907,5414,Wed Jun 21 00:06:44 +0000 2017
877201837425926144,27755,5880,Tue Jun 20 16:29:50 +0000 2017
876838120628539392,21125,3506,Mon Jun 19 16:24:33 +0000 2017
876537666061221889,23869,4800,Sun Jun 18 20:30:39 +0000 2017
876484053909872640,19163,2511,Sun Jun 18 16:57:37 +0000 2017
876120275196170240,28490,4903,Sat Jun 17 16:52:05 +0000 2017
875747767867523072,25773,4497,Fri Jun 16 16:11:53 +0000 2017
875144289856114688,22185,5081,Thu Jun 15 00:13:52 +0000 2017
875097192612077568,27997,6342,Wed Jun 14 21:06:43 +0000 2017
875021211251597312,26022,4922,Wed Jun 14 16:04:48 +0000 2017
874680097055178752,28439,4875,Tue Jun 13 17:29:20 +0000 2017
874434818259525634,0,15546,Tue Jun 13 01:14:41 +0000 2017
874296783580663808,26651,4308,Mon Jun 12 16:06:11 +0000 2017
874057562936811520,23134,4125,Mon Jun 12 00:15:36 +0000 2017
874012996292530176,35501,11007,Sun Jun 11 21:18:31 +0000 2017
873697596434513921,0,12518,Sun Jun 11 00:25:14 +0000 2017
873580283840344065,24837,4143,Sat Jun 10 16:39:04 +0000 2017
873337748698140672,0,1667,Sat Jun 10 00:35:19 +0000 2017
873213775632977920,7467,1667,Fri Jun 09 16:22:42 +0000 2017
872967104147763200,28031,5669,Fri Jun 09 00:02:31 +0000 2017
872820683541237760,15029,3884,Thu Jun 08 14:20:41 +0000 2017
872668790621863937,0,31,Thu Jun 08 04:17:07 +0000 2017
872620804844003328,21309,3911,Thu Jun 08 01:06:27 +0000 2017
872486979161796608,41606,9429,Wed Jun 07 16:14:40 +0000 2017
872261713294495745,35085,6649,Wed Jun 07 01:19:32 +0000 2017
872122724285648897,35324,8549,Tue Jun 06 16:07:15 +0000 2017
871879754684805121,39090,11918,Tue Jun 06 00:01:46 +0000 2017
871762521631449091,20787,3678,Mon Jun 05 16:15:56 +0000 2017
871515927908634625,20730,3628,Sun Jun 04 23:56:03 +0000 2017
871166179821445120,0,5991,Sun Jun 04 00:46:17 +0000 2017
871102520638267392,21461,5764,Sat Jun 03 20:33:19 +0000 2017
871032628920680449,23255,3999,Sat Jun 03 15:55:36 +0000 2017
870804317367881728,33791,6393,Sat Jun 03 00:48:22 +0000 2017
870726314365509632,121,3,Fri Jun 02 19:38:25 +0000 2017
870656317836468226,12819,2817,Fri Jun 02 15:00:16 +0000 2017
870374049280663552,85011,27680,Thu Jun 01 20:18:38 +0000 2017
870308999962521604,22453,4384,Thu Jun 01 16:00:09 +0000 2017
870063196459192321,37771,8840,Wed May 31 23:43:25 +0000 2017
869988702071779329,0,25661,Wed May 31 18:47:24 +0000 2017
869772420881756160,43710,10663,Wed May 31 04:27:59 +0000 2017
869702957897576449,29116,6728,Tue May 30 23:51:58 +0000 2017
